geonameid	name	asciiname	alternatenames	latitude	longitude	"feature class"	"feature code"	"country code"	cc2	"admin1 code"	"admin2 code"	"admin3 code"	"admin4 code"	population	elevation	dem	timezone	"modification date"
7062741	Muronde	Muronde		-2.416	29.6645	H	STM	RW		15				0		1595	Africa/Kigali	2009-11-28
7062742	Kibaza	Kibaza		-2.4716	29.7475	H	STM	RW		15				0		1601	Africa/Kigali	2009-11-28
7062743	Nanga	Nanga		-2.466	29.739	H	STM	RW		15				0		1634	Africa/Kigali	2009-11-28
7062744	Mukingwa	Mukingwa		-2.4465	29.7264	H	STM	RW		15				0		1586	Africa/Kigali	2009-11-28
7062745	Ruvumbi	Ruvumbi		-2.4496	29.6953	H	STMI	RW		15				0		1584	Africa/Kigali	2009-11-28
7062746	Rwamunungu	Rwamunungu		-2.2736	29.7438	H	STMI	RW		15				0		1689	Africa/Kigali	2009-11-28
7062747	Bugatura	Bugatura		-2.3076	29.5434	P	PPL	RW		15	25	2505	250502	0		1838	Africa/Kigali	2016-07-06
7062748	Karukara	Karukara		-2.4878	29.5666	H	STMI	RW		15				0		1764	Africa/Kigali	2009-11-28
7062749	Buninda	Buninda		-2.4	29.7339	H	STMI	RW		15				0		1609	Africa/Kigali	2009-11-28
7062750	Kavumba I	Kavumba I		-2.2813	29.73187	H	STMI	RW		15				0		1670	Africa/Kigali	2009-11-28
7062751	Kavumba II	Kavumba II		-2.2797	29.7313	H	STMI	RW		15				0		1693	Africa/Kigali	2009-11-28
7062752	Nyamuha	Nyamuha		-2.25069	29.59974	H	STMI	RW		15				0		1601	Africa/Kigali	2009-11-28
7062753	Mushishito	Mushishito		-2.46921	29.50041	H	STM	RW		15				0		1993	Africa/Kigali	2009-11-28
7062754	Kibonde	Kibonde		-2.25	29.69778	P	PPLL	RW		15	21	2106	210606	0		1691	Africa/Kigali	2016-07-06
7062755	Muganza	Muganza		-2.25	29.72389	P	PPLL	RW		15	21	2106	210603	0		1769	Africa/Kigali	2016-07-06
7062756	Bwama	Bwama		-2.25028	29.59722	P	PPLL	RW		15	26	2603	260301	0		1650	Africa/Kigali	2016-07-06
7062757	Kabacuzi	Kabacuzi		-2.25	29.6283	P	PPLL	RW		15	26	2603	260304	0		1838	Africa/Kigali	2016-07-06
7062758	Nyacyoma	Nyacyoma		-2.25	29.70782	P	PPLL	RW		15	21	2106	210606	0		1672	Africa/Kigali	2016-07-06
7062759	Musagara	Musagara		-2.2517	29.5717	P	PPLL	RW		15	25	2512	251201	0		1837	Africa/Kigali	2016-07-06
7062760	Runyinya	Runyinya		-2.2523	29.5639	P	PPLL	RW		15	25	2512	251203	0		1672	Africa/Kigali	2016-07-06
7062761	Mburabuturo	Mburabuturo		-2.2524	29.5888	P	PPLL	RW		15	25	2512	251205	0		1527	Africa/Kigali	2016-07-06
7062762	Nyabyiyone	Nyabyiyone		-2.2519	29.6412	P	PPLL	RW		15	26	2603	260302	0		1790	Africa/Kigali	2016-07-06
7062763	Ruhosha	Ruhosha		-2.2523	29.6954	P	PPLL	RW		15	21	2106	210606	0		1662	Africa/Kigali	2016-07-06
7062764	Kigarama	Kigarama		-2.2542	29.7186	P	PPLL	RW		15	21	2106	210603	0		1667	Africa/Kigali	2016-07-06
7062765	Turyango	Turyango		-2.2532	29.513	P	PPLL	RW		15	25	2511	251105	0		1728	Africa/Kigali	2016-07-06
7062766	Cyabasana	Cyabasana		-2.2537	29.5587	P	PPLL	RW		15	25	2512	251203	0		1691	Africa/Kigali	2016-07-06
7062767	Murambi	Murambi		-2.2535	29.5488	P	PPL	RW		15	25	2512	251201	0		1741	Africa/Kigali	2016-07-06
7062768	Murambi	Murambi		-2.2549	29.5758	P	PPLL	RW		15	25	2512	251205	0		1815	Africa/Kigali	2016-07-06
7062769	Bikombe	Bikombe		-2.2554	29.664	P	PPLL	RW		15	26	2601	260101	0		1951	Africa/Kigali	2016-07-06
7062770	Kabere	Kabere		-2.2552	29.68	P	PPLL	RW		15	26	2601	260101	0		1704	Africa/Kigali	2016-07-06
7062771	Gahengeli	Gahengeli		-2.2556	29.6053	P	PPLL	RW		15	21	2103	210301	0		1629	Africa/Kigali	2016-07-06
7062772	Birambo	Birambo		-2.2547	29.6221	P	PPLL	RW		15	26	2603	260304	0		1650	Africa/Kigali	2016-07-06
7062773	Karwishyura	Karwishyura		-2.2573	29.5734	P	PPLL	RW		15	25	2512	251205	0		1715	Africa/Kigali	2016-07-06
7062774	Rutarabana	Rutarabana		-2.2566	29.6871	P	PPL	RW		15	26	2601	260101	0		1689	Africa/Kigali	2016-07-06
